modelo,quechua,real,llm,sim_lexica,sim_semantica,coincide
openai/gpt-oss-120b:free,sayariy,Dejar la cama en las mañanas,Mirar con atención.,0.304,0.181,False
openai/gpt-oss-120b:free,ch'irma,"Zozobra. Intranquilidad, desasosiego, inquietud","Utensilio de madera con forma de cuenco o cuchara, usado para servir alimentos.",0.295,-0.037,False
openai/gpt-oss-120b:free,phutichiy,Atribular,"Cortar o podar algo, generalmente con un hacha o herramienta afilada.",0.16,0.263,False
openai/gpt-oss-120b:free,ruk'iy,"Tupir. Apretar mucho una cosa, cerrando sus intersticios","Cortar o podar, especialmente con hacha o herramienta afilada.",0.365,0.51,False
openai/gpt-oss-120b:free,llaksay,Fundir metales,"Cortar o podar, especialmente con una herramienta afilada.",0.254,0.299,False
openai/gpt-oss-120b:free,ch'allay,Rociar. Esparcir en gotas menudas un líquido,"Desprender o separar una cosa de otra, especialmente al romperse o partirse.",0.427,0.513,False
openai/gpt-oss-120b:free,chaya,"Cocción, cocimiento",Utensilio con una cavidad cóncava usado para tomar líquidos o alimentos.,0.267,0.445,False
openai/gpt-oss-120b:free,maywanakuy,Amarse apasionadamente,Acción de juntarse o reunirse varias personas.,0.418,0.44,False
openai/gpt-oss-120b:free,phiña,"Enojado, -da. Dícese de la persona renegada o colérica","Hueso, parte rígida del esqueleto que sostiene y protege los tejidos del cuerpo.",0.419,0.075,False
openai/gpt-oss-120b:free,ch'isiyay,Anochecer. Llegar la noche,Acción de encender o prender fuego.,0.4,0.458,False
openai/gpt-oss-120b:free,mintuy,Hacer envoltorio,Decir falsamente algo con intención de engañar.,0.226,0.337,False
google/gemma-4-31b-it:free,jawa,Afuera. Fuera del sitio en que uno está,Persona ajena a la familia o al grupo social cercano.,0.396,0.253,False
google/gemma-4-31b-it:free,aspakay,Acción de dar ofrenda a la divinidad con fiesta. Aspecto que presenta el cielo cuando hay nubes tenues y de varios matices. Arrebol color rojo de las nubes heridas por los rayos del sol,Acción de abrazar fuertemente a alguien.,0.44,0.281,False
google/gemma-4-31b-it:free,piqtuy,Mezclar. Desordenar lo que ya estaba en orden,"Dibujar, pintar o trazar una imagen.",0.4,0.384,False
google/gemma-4-31b-it:free,muskiykachay,Oliscar. Oler algo con cuidado y persistencia y buscar por el olfato una cosa,Hacer que alguien sueñe.,0.306,0.458,False
google/gemma-4-31b-it:free,maray,"Derribar. Echar abajo, tirar al suelo",Sujetar o sostener algo con la mano.,0.444,0.468,False
google/gemma-4-31b-it:free,kikinchay,Identificar. Hacer que dos o más cosas que en realidad son distintas aparezcan y se consideren como una misma,Acción de mirarse a sí mismo o reflejarse en un espejo.,0.465,0.466,False
google/gemma-4-31b-it:free,janaq,"Alto. Elevado, superior, arriba",Que se encuentra en lo alto o en la parte superior.,0.513,0.808,True
google/gemma-4-31b-it:free,ch'uwa,Privación de algo necesario o útil,"Limpio, puro o transparente.",0.393,0.35,False
google/gemma-4-31b-it:free,thanta,Trapo. Pedazo de tela desechado por viejo,Persona que carece de inteligencia o juicio.,0.405,0.229,False
google/gemma-4-31b-it:free,ayllu suti,Apellido. Nombre de familia,Apellido o nombre familiar.,0.868,0.768,True
google/gemma-4-31b-it:free,awqay,"Guerrear, hacer guerra",Enemigo o adversario.,0.333,0.517,False
google/gemma-4-31b-it:free,iñu,Nigua. Insecto parecido a la pulga que se introduce en especial al pie del hombre o en la pata de los animales,Yo.,0.019,0.153,False
google/gemma-4-31b-it:free,manchariy,Asustarse,Asustar o causar miedo a alguien.,0.439,0.802,True
google/gemma-4-31b-it:free,miniy,Tramar. Cruzar la rama con la urdimbre para tejer alguna tela,Beber o tomar un líquido.,0.293,0.177,False
google/gemma-4-31b-it:free,yaqch'ikuy,Lavarse ligeramente las manos o los dedos,Lavar los dientes o cepillarse la dentadura.,0.548,0.559,False
google/gemma-4-31b-it:free,ati,Adversidad. Desventura,"Capacidad, fuerza o poder para realizar una acción.",0.306,0.412,False
google/gemma-4-31b-it:free,llat'a kay,Desnudez. Falta de vestido,"Estado de ser un terreno baldío, yermo o deshabitado.",0.385,0.488,False
google/gemma-4-31b-it:free,tutayay,Anochecer. Llegar la noche,Anochecer o proceso de oscurecimiento al caer la tarde.,0.5,0.619,False
google/gemma-4-31b-it:free,mañaqay,Pedir la mano de la novia,Acción de pedir o solicitar algo.,0.63,0.503,False
google/gemma-4-31b-it:free,ura,"Bajo, -ja. Lo que está en un lugar inferior respecto a otras cosas de la misma clase",Serpiente o culebra.,0.272,0.384,False
google/gemma-4-31b-it:free,pukayachiy,Abochornar. Sonrojar,Hacer sonrojar o avergonzar a alguien.,0.571,0.551,False
google/gemma-4-31b-it:free,allinchana,Normalización,"Instrumento o medio utilizado para reparar, arreglar o mejorar algo.",0.205,0.243,False
google/gemma-4-31b-it:free,khiwiy,"Envolver. Enovillar, arrollar","Torcer, doblar o desviar algo de su dirección recta.",0.4,0.567,False
google/gemma-4-31b-it:free,thaparaku,Mariposa nocturna de gran tamaño,Persona que se queda sola o que permanece aislada.,0.364,0.081,False
google/gemma-4-31b-it:free,q'atayay,"Enturbiarse, volverse turbio un líquido","Acción de recoger, amontonar o juntar cosas dispersas.",0.348,0.422,False
google/gemma-4-31b-it:free,puchuy,Sobrar. Haber más de lo necesario,Lavar ropa o textiles.,0.333,0.256,False
google/gemma-4-31b-it:free,khapa,Zancada. Paso largo,Capa o capa de ropa.,0.364,0.372,False
google/gemma-4-31b-it:free,mamuy,Pasar las manos por la superficie de un montón de cereales u otras cosas arrastrando a un lado lo que no ha de servir,Acción de recoger o levantar algo del suelo.,0.384,0.572,False
google/gemma-4-31b-it:free,q'achu,Hierba verde que se da a los animales herbívoros,Persona que tiene el hábito de robar.,0.452,0.055,False
google/gemma-4-31b-it:free,jamyayay,"Volverse insípido, sin sabor",Acción de venir o acercarse repetidamente o en grupo.,0.359,0.371,False
google/gemma-4-31b-it:free,intichaw,Domingo. Día domingo,Durante el día.,0.412,0.674,True
